Question,Location Code,Location Name,Answer,Count
House Wall Material,063,Kabita,,14
House Wall Material,063,Kabita,Timber,1
House Wall Material,063,Kabita,Stone/Bricks,847
House Wall Material,063,Kabita,Polythene,5
House Wall Material,343,Nshamba,Iron sheet,0
House Wall Material,343,Nshamba,Mud,24
House Wall Material,343,Nshamba,,0
House Wall Material,343,Nshamba,Timber,0
House Wall Material,343,Nshamba,Stone/Bricks,55
House Wall Material,343,Nshamba,Polythene,0
House Wall Material,032,Shanwe,Iron sheet,31
House Wall Material,032,Shanwe,Mud,431
House Wall Material,032,Shanwe,,21
House Wall Material,032,Shanwe,Timber,1
House Wall Material,032,Shanwe,Stone/Bricks,1573
House Wall Material,032,Shanwe,Polythene,0
House Wall Material,213,Bwanga,Iron sheet,0
House Wall Material,213,Bwanga,Mud,146
House Wall Material,213,Bwanga,,0
House Wall Material,213,Bwanga,Timber,0
House Wall Material,213,Bwanga,Stone/Bricks,214
House Wall Material,213,Bwanga,Polythene,1
House Wall Material,291,Geterer,Iron sheet,0
House Wall Material,291,Geterer,Mud,290
House Wall Material,291,Geterer,,0
House Wall Material,291,Geterer,Timber,0
House Wall Material,291,Geterer,Stone/Bricks,198
House Wall Material,291,Geterer,Polythene,2
House Wall Material,321,Gidihim,Iron sheet,81
House Wall Material,321,Gidihim,Mud,342
House Wall Material,321,Gidihim,,0
House Wall Material,321,Gidihim,Timber,2
House Wall Material,321,Gidihim,Stone/Bricks,166
House Wall Material,321,Gidihim,Polythene,0
House Wall Material,072,Kawajense,Iron sheet,13
House Wall Material,072,Kawajense,Mud,666
House Wall Material,072,Kawajense,,57
House Wall Material,072,Kawajense,Timber,15
House Wall Material,072,Kawajense,Stone/Bricks,1244
House Wall Material,072,Kawajense,Polythene,4
House Wall Material,082,Nsemulwa,Iron sheet,75
House Wall Material,082,Nsemulwa,Mud,319
House Wall Material,082,Nsemulwa,,16
House Wall Material,082,Nsemulwa,Timber,6
House Wall Material,082,Nsemulwa,Stone/Bricks,1398
House Wall Material,082,Nsemulwa,Polythene,0
House Wall Material,401,Bulyakashaju,Iron sheet,0
House Wall Material,401,Bulyakashaju,Mud,15
House Wall Material,401,Bulyakashaju,,0
House Wall Material,401,Bulyakashaju,Timber,0
House Wall Material,401,Bulyakashaju,Stone/Bricks,16
House Wall Material,401,Bulyakashaju,Polythene,0
House Wall Material,222,Ganana,Iron sheet,28
House Wall Material,222,Ganana,Mud,2
House Wall Material,222,Ganana,,1
House Wall Material,222,Ganana,Timber,0
House Wall Material,222,Ganana,Stone/Bricks,85
House Wall Material,222,Ganana,Polythene,0
House Wall Material,052,Kashaulili,Iron sheet,46
House Wall Material,052,Kashaulili,Mud,176
House Wall Material,052,Kashaulili,,2
House Wall Material,052,Kashaulili,Timber,4
House Wall Material,052,Kashaulili,Stone/Bricks,1172
House Wall Material,052,Kashaulili,Polythene,1
House Wall Material,112,Mwisenge,Iron sheet,1
House Wall Material,112,Mwisenge,Mud,251
House Wall Material,112,Mwisenge,,19
House Wall Material,112,Mwisenge,Timber,3
House Wall Material,112,Mwisenge,Stone/Bricks,687
House Wall Material,112,Mwisenge,Polythene,3
House Wall Material,023,Iwawa,Iron sheet,51
House Wall Material,023,Iwawa,Mud,493
House Wall Material,023,Iwawa,,0
House Wall Material,023,Iwawa,Timber,54
House Wall Material,023,Iwawa,Stone/Bricks,617
House Wall Material,023,Iwawa,Polythene,5
House Wall Material,210,Kirogo,Iron sheet,0
House Wall Material,210,Kirogo,Mud,33
House Wall Material,210,Kirogo,,0
House Wall Material,210,Kirogo,Timber,0
House Wall Material,210,Kirogo,Stone/Bricks,14
House Wall Material,210,Kirogo,Polythene,0
House Wall Material,243,Balili,Iron sheet,23
House Wall Material,243,Balili,Mud,63
House Wall Material,243,Balili,,19
House Wall Material,243,Balili,Timber,0
House Wall Material,243,Balili,Stone/Bricks,212
House Wall Material,243,Balili,Polythene,0
House Wall Material,141,Bukome,Iron sheet,228
House Wall Material,141,Bukome,Mud,3298
House Wall Material,141,Bukome,,43
House Wall Material,141,Bukome,Timber,15
House Wall Material,141,Bukome,Stone/Bricks,1931
House Wall Material,141,Bukome,Polythene,12
House Wall Material,163,Manda,Iron sheet,85
House Wall Material,163,Manda,Mud,356
House Wall Material,163,Manda,,9
House Wall Material,163,Manda,Timber,0
House Wall Material,163,Manda,Stone/Bricks,547
House Wall Material,163,Manda,Polythene,0
House Wall Material,191,Butengorumasa,Iron sheet,104
House Wall Material,191,Butengorumasa,Mud,2798
House Wall Material,191,Butengorumasa,,39
House Wall Material,191,Butengorumasa,Timber,58
House Wall Material,191,Butengorumasa,Stone/Bricks,728
House Wall Material,191,Butengorumasa,Polythene,10
House Wall Material,371,Kishanda,Iron sheet,0
House Wall Material,371,Kishanda,Mud,49
House Wall Material,371,Kishanda,,0
House Wall Material,371,Kishanda,Timber,0
House Wall Material,371,Kishanda,Stone/Bricks,18
House Wall Material,371,Kishanda,Polythene,0
House Wall Material,202,Sinde,Iron sheet,7
House Wall Material,202,Sinde,Mud,111
House Wall Material,202,Sinde,,2
House Wall Material,202,Sinde,Timber,0
House Wall Material,202,Sinde,Stone/Bricks,500
House Wall Material,202,Sinde,Polythene,0
House Wall Material,212,Katesh,Iron sheet,2
House Wall Material,212,Katesh,Mud,15
House Wall Material,212,Katesh,,2
House Wall Material,212,Katesh,Timber,0
House Wall Material,212,Katesh,Stone/Bricks,194
House Wall Material,212,Katesh,Polythene,0
House Wall Material,203,Nangwa,Iron sheet,0
House Wall Material,203,Nangwa,Mud,78
House Wall Material,203,Nangwa,,2
House Wall Material,203,Nangwa,Timber,0
House Wall Material,203,Nangwa,Stone/Bricks,80
House Wall Material,203,Nangwa,Polythene,0
House Wall Material,342,Nonde,Iron sheet,0
House Wall Material,342,Nonde,Mud,0
House Wall Material,342,Nonde,,0
House Wall Material,342,Nonde,Timber,0
House Wall Material,342,Nonde,Stone/Bricks,36
House Wall Material,342,Nonde,Polythene,0
House Wall Material,073,Kalemela,Iron sheet,45
House Wall Material,073,Kalemela,Mud,484
House Wall Material,073,Kalemela,,8
House Wall Material,073,Kalemela,Timber,2
House Wall Material,073,Kalemela,Stone/Bricks,508
House Wall Material,073,Kalemela,Polythene,0
House Wall Material,133,Igulwa,Iron sheet,118
House Wall Material,133,Igulwa,Mud,376
House Wall Material,133,Igulwa,,43
House Wall Material,133,Igulwa,Timber,4
House Wall Material,133,Igulwa,Stone/Bricks,616
House Wall Material,133,Igulwa,Polythene,3
House Wall Material,282,Endagikot,Iron sheet,14
House Wall Material,282,Endagikot,Mud,92
House Wall Material,282,Endagikot,,0
House Wall Material,282,Endagikot,Timber,2
House Wall Material,282,Endagikot,Stone/Bricks,135
House Wall Material,282,Endagikot,Polythene,0
House Wall Material,022,Misunkumilo,Iron sheet,55
House Wall Material,022,Misunkumilo,Mud,676
House Wall Material,022,Misunkumilo,,54
House Wall Material,022,Misunkumilo,Timber,3
House Wall Material,022,Misunkumilo,Stone/Bricks,1740
House Wall Material,022,Misunkumilo,Polythene,8
House Wall Material,302,Nyatukala,Iron sheet,8
House Wall Material,302,Nyatukala,Mud,9
House Wall Material,302,Nyatukala,,0
House Wall Material,302,Nyatukala,Timber,0
House Wall Material,302,Nyatukala,Stone/Bricks,96
House Wall Material,302,Nyatukala,Polythene,0
House Wall Material,101,Bukombe,Iron sheet,244
House Wall Material,101,Bukombe,Mud,4687
House Wall Material,101,Bukombe,,109
House Wall Material,101,Bukombe,Timber,32
House Wall Material,101,Bukombe,Stone/Bricks,2965
House Wall Material,101,Bukombe,Polythene,18
House Wall Material,182,Mwanga Kaskazini,Iron sheet,0
House Wall Material,182,Mwanga Kaskazini,Mud,64
House Wall Material,182,Mwanga Kaskazini,,3
House Wall Material,182,Mwanga Kaskazini,Timber,0
House Wall Material,182,Mwanga Kaskazini,Stone/Bricks,412
House Wall Material,182,Mwanga Kaskazini,Polythene,0
House Wall Material,152,Endiamtu,Iron sheet,0
House Wall Material,152,Endiamtu,Mud,185
House Wall Material,152,Endiamtu,,7
House Wall Material,152,Endiamtu,Timber,3
House Wall Material,152,Endiamtu,Stone/Bricks,486
House Wall Material,152,Endiamtu,Polythene,0
House Wall Material,092,Kamunyonge,Iron sheet,4
House Wall Material,092,Kamunyonge,Mud,460
House Wall Material,092,Kamunyonge,,7
House Wall Material,092,Kamunyonge,Timber,11
House Wall Material,092,Kamunyonge,Stone/Bricks,1081
House Wall Material,092,Kamunyonge,Polythene,3
House Wall Material,111,Nyanghwale,Iron sheet,191
House Wall Material,111,Nyanghwale,Mud,3641
House Wall Material,111,Nyanghwale,,49
House Wall Material,111,Nyanghwale,Timber,43
House Wall Material,111,Nyanghwale,Stone/Bricks,2233
House Wall Material,111,Nyanghwale,Polythene,14
House Wall Material,162,Ediantu,Iron sheet,61
House Wall Material,162,Ediantu,Mud,166
House Wall Material,162,Ediantu,,17
House Wall Material,162,Ediantu,Timber,2
House Wall Material,162,Ediantu,Stone/Bricks,444
House Wall Material,162,Ediantu,Polythene,0
House Wall Material,081,Ngemo,Iron sheet,419
House Wall Material,081,Ngemo,Mud,4629
House Wall Material,081,Ngemo,,41
House Wall Material,081,Ngemo,Timber,64
House Wall Material,081,Ngemo,Stone/Bricks,1896
House Wall Material,081,Ngemo,Polythene,11
House Wall Material,091,Ushirika,Iron sheet,316
House Wall Material,091,Ushirika,Mud,4303
House Wall Material,091,Ushirika,,31
House Wall Material,091,Ushirika,Timber,19
House Wall Material,091,Ushirika,Stone/Bricks,3280
House Wall Material,091,Ushirika,Polythene,6
House Wall Material,333,Majengo,Iron sheet,0
House Wall Material,333,Majengo,Mud,19
House Wall Material,333,Majengo,,0
House Wall Material,333,Majengo,Timber,0
House Wall Material,333,Majengo,Stone/Bricks,22
House Wall Material,333,Majengo,Polythene,0
House Wall Material,332,Mabwepande,Iron sheet,0
House Wall Material,332,Mabwepande,Mud,24
House Wall Material,332,Mabwepande,,0
House Wall Material,332,Mabwepande,Timber,3
House Wall Material,332,Mabwepande,Stone/Bricks,54
House Wall Material,332,Mabwepande,Polythene,0
House Wall Material,283,Katoro,Iron sheet,15
House Wall Material,283,Katoro,Mud,147
House Wall Material,283,Katoro,,2
House Wall Material,283,Katoro,Timber,0
House Wall Material,283,Katoro,Stone/Bricks,111
House Wall Material,283,Katoro,Polythene,8
House Wall Material,311,Ngenge,Iron sheet,42
House Wall Material,311,Ngenge,Mud,261
House Wall Material,311,Ngenge,,0
House Wall Material,311,Ngenge,Timber,2
House Wall Material,311,Ngenge,Stone/Bricks,86
House Wall Material,311,Ngenge,Polythene,0
House Wall Material,273,Morotonga,Iron sheet,0
House Wall Material,273,Morotonga,Mud,0
House Wall Material,273,Morotonga,,0
House Wall Material,273,Morotonga,Timber,0
House Wall Material,273,Morotonga,Stone/Bricks,10
House Wall Material,273,Morotonga,Polythene,0
House Wall Material,120,Masoko,Iron sheet,0
House Wall Material,120,Masoko,Mud,12
House Wall Material,120,Masoko,,0
House Wall Material,120,Masoko,Timber,0
House Wall Material,120,Masoko,Stone/Bricks,30
House Wall Material,120,Masoko,Polythene,0
House Wall Material,093,Chato,Iron sheet,19
House Wall Material,093,Chato,Mud,493
House Wall Material,093,Chato,,46
House Wall Material,093,Chato,Timber,2
House Wall Material,093,Chato,Stone/Bricks,470
House Wall Material,093,Chato,Polythene,4
House Wall Material,251,Lwamgasa,Iron sheet,16
House Wall Material,251,Lwamgasa,Mud,872
House Wall Material,251,Lwamgasa,,0
House Wall Material,251,Lwamgasa,Timber,0
House Wall Material,251,Lwamgasa,Stone/Bricks,219
House Wall Material,251,Lwamgasa,Polythene,5
House Wall Material,281,Ketare,Iron sheet,22
House Wall Material,281,Ketare,Mud,346
House Wall Material,281,Ketare,,6
House Wall Material,281,Ketare,Timber,0
House Wall Material,281,Ketare,Stone/Bricks,185
House Wall Material,281,Ketare,Polythene,0
House Wall Material,231,Nyarugusu,Iron sheet,28
House Wall Material,231,Nyarugusu,Mud,1201
House Wall Material,231,Nyarugusu,,34
House Wall Material,231,Nyarugusu,Timber,11
House Wall Material,231,Nyarugusu,Stone/Bricks,316
House Wall Material,231,Nyarugusu,Polythene,10
House Wall Material,352,Kalangalala,Iron sheet,0
House Wall Material,352,Kalangalala,Mud,35
House Wall Material,352,Kalangalala,,0
House Wall Material,352,Kalangalala,Timber,0
House Wall Material,352,Kalangalala,Stone/Bricks,130
House Wall Material,352,Kalangalala,Polythene,5
House Wall Material,041,Nyamirembe,Iron sheet,313
House Wall Material,041,Nyamirembe,Mud,4355
House Wall Material,041,Nyamirembe,,42
House Wall Material,041,Nyamirembe,Timber,28
House Wall Material,041,Nyamirembe,Stone/Bricks,2776
House Wall Material,041,Nyamirembe,Polythene,12
House Wall Material,361,Ijumbi,Iron sheet,0
House Wall Material,361,Ijumbi,Mud,95
House Wall Material,361,Ijumbi,,0
House Wall Material,361,Ijumbi,Timber,0
House Wall Material,361,Ijumbi,Stone/Bricks,24
House Wall Material,361,Ijumbi,Polythene,0
House Wall Material,031,Namonge,Iron sheet,267
House Wall Material,031,Namonge,Mud,4921
House Wall Material,031,Namonge,,61
House Wall Material,031,Namonge,Timber,51
House Wall Material,031,Namonge,Stone/Bricks,2465
House Wall Material,031,Namonge,Polythene,11
House Wall Material,103,Muungano,Iron sheet,63
House Wall Material,103,Muungano,Mud,741
House Wall Material,103,Muungano,,10
House Wall Material,103,Muungano,Timber,0
House Wall Material,103,Muungano,Stone/Bricks,543
House Wall Material,103,Muungano,Polythene,0
House Wall Material,042,Kitaji,Iron sheet,18
House Wall Material,042,Kitaji,Mud,246
House Wall Material,042,Kitaji,,15
House Wall Material,042,Kitaji,Timber,12
House Wall Material,042,Kitaji,Stone/Bricks,803
House Wall Material,042,Kitaji,Polythene,0
House Wall Material,262,Kalobe,Iron sheet,2
House Wall Material,262,Kalobe,Mud,0
House Wall Material,262,Kalobe,,0
House Wall Material,262,Kalobe,Timber,0
House Wall Material,262,Kalobe,Stone/Bricks,180
House Wall Material,262,Kalobe,Polythene,0
House Wall Material,181,Kamena,Iron sheet,92
House Wall Material,181,Kamena,Mud,2993
House Wall Material,181,Kamena,,14
House Wall Material,181,Kamena,Timber,122
House Wall Material,181,Kamena,Stone/Bricks,1153
House Wall Material,181,Kamena,Polythene,9
House Wall Material,193,Ludewa,Iron sheet,0
House Wall Material,193,Ludewa,Mud,104
House Wall Material,193,Ludewa,,4
House Wall Material,193,Ludewa,Timber,132
House Wall Material,193,Ludewa,Stone/Bricks,178
House Wall Material,193,Ludewa,Polythene,0
House Wall Material,012,Njombe Mjini,Iron sheet,81
House Wall Material,012,Njombe Mjini,Mud,566
House Wall Material,012,Njombe Mjini,,34
House Wall Material,012,Njombe Mjini,Timber,3
House Wall Material,012,Njombe Mjini,Stone/Bricks,2204
House Wall Material,012,Njombe Mjini,Polythene,0
House Wall Material,413,Kamachumu,Iron sheet,0
House Wall Material,413,Kamachumu,Mud,15
House Wall Material,413,Kamachumu,,0
House Wall Material,413,Kamachumu,Timber,0
House Wall Material,413,Kamachumu,Stone/Bricks,25
House Wall Material,413,Kamachumu,Polythene,0
House Wall Material,121,Katende,Iron sheet,369
House Wall Material,121,Katende,Mud,3699
House Wall Material,121,Katende,,54
House Wall Material,121,Katende,Timber,36
House Wall Material,121,Katende,Stone/Bricks,2279
House Wall Material,121,Katende,Polythene,14
House Wall Material,033,Wanging`ombe,Iron sheet,35
House Wall Material,033,Wanging`ombe,Mud,648
House Wall Material,033,Wanging`ombe,,12
House Wall Material,033,Wanging`ombe,Timber,5
House Wall Material,033,Wanging`ombe,Stone/Bricks,964
House Wall Material,033,Wanging`ombe,Polythene,0
House Wall Material,201,Iparamasa,Iron sheet,240
House Wall Material,201,Iparamasa,Mud,1882
House Wall Material,201,Iparamasa,,9
House Wall Material,201,Iparamasa,Timber,65
House Wall Material,201,Iparamasa,Stone/Bricks,848
House Wall Material,201,Iparamasa,Polythene,5
House Wall Material,062,Mpanda hotel,Iron sheet,16
House Wall Material,062,Mpanda hotel,Mud,268
House Wall Material,062,Mpanda hotel,,28
House Wall Material,062,Mpanda hotel,Timber,17
House Wall Material,062,Mpanda hotel,Stone/Bricks,1302
House Wall Material,062,Mpanda hotel,Polythene,0
House Wall Material,011,Runzewe Mashariki,Iron sheet,224
House Wall Material,011,Runzewe Mashariki,Mud,3663
House Wall Material,011,Runzewe Mashariki,,42
House Wall Material,011,Runzewe Mashariki,Timber,122
House Wall Material,011,Runzewe Mashariki,Stone/Bricks,2398
House Wall Material,011,Runzewe Mashariki,Polythene,15
House Wall Material,153,Buziku,Iron sheet,59
House Wall Material,153,Buziku,Mud,542
House Wall Material,153,Buziku,,8
House Wall Material,153,Buziku,Timber,4
House Wall Material,153,Buziku,Stone/Bricks,564
House Wall Material,153,Buziku,Polythene,0
House Wall Material,053,Nkome,Iron sheet,76
House Wall Material,053,Nkome,Mud,874
House Wall Material,053,Nkome,,25
House Wall Material,053,Nkome,Timber,0
House Wall Material,053,Nkome,Stone/Bricks,1069
House Wall Material,053,Nkome,Polythene,0
House Wall Material,102,Nyamatare,Iron sheet,13
House Wall Material,102,Nyamatare,Mud,249
House Wall Material,102,Nyamatare,,18
House Wall Material,102,Nyamatare,Timber,4
House Wall Material,102,Nyamatare,Stone/Bricks,1230
House Wall Material,102,Nyamatare,Polythene,0
House Wall Material,122,Buhare,Iron sheet,12
House Wall Material,122,Buhare,Mud,263
House Wall Material,122,Buhare,,0
House Wall Material,122,Buhare,Timber,2
House Wall Material,122,Buhare,Stone/Bricks,600
House Wall Material,122,Buhare,Polythene,0
House Wall Material,431,Ngulwi,Iron sheet,0
House Wall Material,431,Ngulwi,Mud,3
House Wall Material,431,Ngulwi,,0
