Question,Location,Round,Answer,Count
What is the top thing that you need information about?,Dolakha,6,How to replace personal documentation,0
What is the top thing that you need information about?,Dolakha,6,NA,36
What is the top thing that you need information about?,Dolakha,6,How to get shelter materials,4
What is the top thing that you need information about?,Dolakha,6,News about government decisions,46
What is the top thing that you need information about?,Dolakha,6,How to register for access support,8
What is the top thing that you need information about?,Dolakha,6,Others,0
What is the top thing that you need information about?,Dolakha,6,Finding missing people,0
What is the top thing that you need information about?,Lalitpur,1,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Lalitpur,1,How to replace personal documentation,0
What is the top thing that you need information about?,Lalitpur,1,NA,30
What is the top thing that you need information about?,Lalitpur,1,How to get shelter materials,11
What is the top thing that you need information about?,Lalitpur,1,News about government decisions,54
What is the top thing that you need information about?,Lalitpur,1,How to register for access support,9
What is the top thing that you need information about?,Lalitpur,1,Others,0
What is the top thing that you need information about?,Lalitpur,1,Finding missing people,0
What is the top thing that you need information about?,Lalitpur,3,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Lalitpur,3,How to replace personal documentation,0
What is the top thing that you need information about?,Lalitpur,3,NA,46
What is the top thing that you need information about?,Lalitpur,3,How to get shelter materials,7
What is the top thing that you need information about?,Lalitpur,3,News about government decisions,37
What is the top thing that you need information about?,Lalitpur,3,How to register for access support,9
What is the top thing that you need information about?,Lalitpur,3,Others,0
What is the top thing that you need information about?,Lalitpur,3,Finding missing people,0
What is the top thing that you need information about?,Lalitpur,2,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Lalitpur,2,How to replace personal documentation,0
What is the top thing that you need information about?,Lalitpur,2,NA,44
What is the top thing that you need information about?,Lalitpur,2,How to get shelter materials,5
What is the top thing that you need information about?,Lalitpur,2,News about government decisions,41
What is the top thing that you need information about?,Lalitpur,2,How to register for access support,9
What is the top thing that you need information about?,Lalitpur,2,Others,0
What is the top thing that you need information about?,Lalitpur,2,Finding missing people,1
What is the top thing that you need information about?,Lalitpur,5,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Lalitpur,5,How to replace personal documentation,0
What is the top thing that you need information about?,Lalitpur,5,NA,67
What is the top thing that you need information about?,Lalitpur,5,How to get shelter materials,9
What is the top thing that you need information about?,Lalitpur,5,News about government decisions,18
What is the top thing that you need information about?,Lalitpur,5,How to register for access support,6
What is the top thing that you need information about?,Lalitpur,5,Others,0
What is the top thing that you need information about?,Lalitpur,5,Finding missing people,0
What is the top thing that you need information about?,Lalitpur,4,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Lalitpur,4,How to replace personal documentation,0
What is the top thing that you need information about?,Lalitpur,4,NA,52
What is the top thing that you need information about?,Lalitpur,4,How to get shelter materials,3
What is the top thing that you need information about?,Lalitpur,4,News about government decisions,31
What is the top thing that you need information about?,Lalitpur,4,How to register for access support,13
What is the top thing that you need information about?,Lalitpur,4,Others,0
What is the top thing that you need information about?,Lalitpur,4,Finding missing people,1
What is the top thing that you need information about?,Lalitpur,6,How to get healthcare psychosocial support,3
What is the top thing that you need information about?,Lalitpur,6,How to replace personal documentation,2
What is the top thing that you need information about?,Lalitpur,6,NA,59
What is the top thing that you need information about?,Lalitpur,6,How to get shelter materials,1
What is the top thing that you need information about?,Lalitpur,6,News about government decisions,21
What is the top thing that you need information about?,Lalitpur,6,How to register for access support,14
What is the top thing that you need information about?,Lalitpur,6,Others,0
What is the top thing that you need information about?,Lalitpur,6,Finding missing people,0
What is the top thing that you need information about?,Dhading,1,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Dhading,1,How to replace personal documentation,0
What is the top thing that you need information about?,Dhading,1,NA,62
What is the top thing that you need information about?,Dhading,1,How to get shelter materials,2
What is the top thing that you need information about?,Dhading,1,News about government decisions,30
What is the top thing that you need information about?,Dhading,1,How to register for access support,2
What is the top thing that you need information about?,Dhading,1,Others,1
What is the top thing that you need information about?,Dhading,1,Finding missing people,1
What is the top thing that you need information about?,Dhading,3,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Dhading,3,How to replace personal documentation,0
What is the top thing that you need information about?,Dhading,3,NA,66
What is the top thing that you need information about?,Dhading,3,How to get shelter materials,4
What is the top thing that you need information about?,Dhading,3,News about government decisions,27
What is the top thing that you need information about?,Dhading,3,How to register for access support,0
What is the top thing that you need information about?,Dhading,3,Others,0
What is the top thing that you need information about?,Dhading,3,Finding missing people,2
What is the top thing that you need information about?,Dhading,2,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Dhading,2,How to replace personal documentation,4
What is the top thing that you need information about?,Dhading,2,NA,48
What is the top thing that you need information about?,Dhading,2,How to get shelter materials,8
What is the top thing that you need information about?,Dhading,2,News about government decisions,32
What is the top thing that you need information about?,Dhading,2,How to register for access support,3
What is the top thing that you need information about?,Dhading,2,Others,2
What is the top thing that you need information about?,Dhading,2,Finding missing people,1
What is the top thing that you need information about?,Dhading,5,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Dhading,5,How to replace personal documentation,0
What is the top thing that you need information about?,Dhading,5,NA,71
What is the top thing that you need information about?,Dhading,5,How to get shelter materials,3
What is the top thing that you need information about?,Dhading,5,News about government decisions,24
What is the top thing that you need information about?,Dhading,5,How to register for access support,1
What is the top thing that you need information about?,Dhading,5,Others,0
What is the top thing that you need information about?,Dhading,5,Finding missing people,0
What is the top thing that you need information about?,Dhading,4,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Dhading,4,How to replace personal documentation,0
What is the top thing that you need information about?,Dhading,4,NA,75
What is the top thing that you need information about?,Dhading,4,How to get shelter materials,0
What is the top thing that you need information about?,Dhading,4,News about government decisions,24
What is the top thing that you need information about?,Dhading,4,How to register for access support,0
What is the top thing that you need information about?,Dhading,4,Others,0
What is the top thing that you need information about?,Dhading,4,Finding missing people,0
What is the top thing that you need information about?,Dhading,6,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Dhading,6,How to replace personal documentation,0
What is the top thing that you need information about?,Dhading,6,NA,78
What is the top thing that you need information about?,Dhading,6,How to get shelter materials,1
What is the top thing that you need information about?,Dhading,6,News about government decisions,20
What is the top thing that you need information about?,Dhading,6,How to register for access support,1
What is the top thing that you need information about?,Dhading,6,Others,0
What is the top thing that you need information about?,Dhading,6,Finding missing people,0
What is the top thing that you need information about?,Bhaktapur,1,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Bhaktapur,1,How to replace personal documentation,1
What is the top thing that you need information about?,Bhaktapur,1,NA,52
What is the top thing that you need information about?,Bhaktapur,1,How to get shelter materials,9
What is the top thing that you need information about?,Bhaktapur,1,News about government decisions,40
What is the top thing that you need information about?,Bhaktapur,1,How to register for access support,0
What is the top thing that you need information about?,Bhaktapur,1,Others,0
What is the top thing that you need information about?,Bhaktapur,1,Finding missing people,0
What is the top thing that you need information about?,Bhaktapur,3,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Bhaktapur,3,How to replace personal documentation,0
What is the top thing that you need information about?,Bhaktapur,3,NA,48
What is the top thing that you need information about?,Bhaktapur,3,How to get shelter materials,8
What is the top thing that you need information about?,Bhaktapur,3,News about government decisions,19
What is the top thing that you need information about?,Bhaktapur,3,How to register for access support,22
What is the top thing that you need information about?,Bhaktapur,3,Others,0
What is the top thing that you need information about?,Bhaktapur,3,Finding missing people,1
What is the top thing that you need information about?,Bhaktapur,2,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Bhaktapur,2,How to replace personal documentation,3
What is the top thing that you need information about?,Bhaktapur,2,NA,18
What is the top thing that you need information about?,Bhaktapur,2,How to get shelter materials,27
What is the top thing that you need information about?,Bhaktapur,2,News about government decisions,39
What is the top thing that you need information about?,Bhaktapur,2,How to register for access support,11
What is the top thing that you need information about?,Bhaktapur,2,Others,0
What is the top thing that you need information about?,Bhaktapur,2,Finding missing people,1
What is the top thing that you need information about?,Bhaktapur,5,How to get healthcare psychosocial support,5
What is the top thing that you need information about?,Bhaktapur,5,How to replace personal documentation,4
What is the top thing that you need information about?,Bhaktapur,5,NA,70
What is the top thing that you need information about?,Bhaktapur,5,How to get shelter materials,7
What is the top thing that you need information about?,Bhaktapur,5,News about government decisions,6
What is the top thing that you need information about?,Bhaktapur,5,How to register for access support,7
What is the top thing that you need information about?,Bhaktapur,5,Others,0
What is the top thing that you need information about?,Bhaktapur,5,Finding missing people,1
What is the top thing that you need information about?,Bhaktapur,4,How to get healthcare psychosocial support,3
What is the top thing that you need information about?,Bhaktapur,4,How to replace personal documentation,12
What is the top thing that you need information about?,Bhaktapur,4,NA,36
What is the top thing that you need information about?,Bhaktapur,4,How to get shelter materials,8
What is the top thing that you need information about?,Bhaktapur,4,News about government decisions,14
What is the top thing that you need information about?,Bhaktapur,4,How to register for access support,25
What is the top thing that you need information about?,Bhaktapur,4,Others,0
What is the top thing that you need information about?,Bhaktapur,4,Finding missing people,2
What is the top thing that you need information about?,Bhaktapur,6,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Bhaktapur,6,How to replace personal documentation,9
What is the top thing that you need information about?,Bhaktapur,6,NA,39
What is the top thing that you need information about?,Bhaktapur,6,How to get shelter materials,8
What is the top thing that you need information about?,Bhaktapur,6,News about government decisions,18
What is the top thing that you need information about?,Bhaktapur,6,How to register for access support,25
What is the top thing that you need information about?,Bhaktapur,6,Others,1
What is the top thing that you need information about?,Bhaktapur,6,Finding missing people,0
What is the top thing that you need information about?,Ramechhap,1,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Ramechhap,1,How to replace personal documentation,0
What is the top thing that you need information about?,Ramechhap,1,NA,48
What is the top thing that you need information about?,Ramechhap,1,How to get shelter materials,17
What is the top thing that you need information about?,Ramechhap,1,News about government decisions,22
What is the top thing that you need information about?,Ramechhap,1,How to register for access support,10
What is the top thing that you need information about?,Ramechhap,1,Others,1
What is the top thing that you need information about?,Ramechhap,1,Finding missing people,0
What is the top thing that you need information about?,Ramechhap,3,How to get healthcare psychosocial support,4
What is the top thing that you need information about?,Ramechhap,3,How to replace personal documentation,6
What is the top thing that you need information about?,Ramechhap,3,NA,2
What is the top thing that you need information about?,Ramechhap,3,How to get shelter materials,41
What is the top thing that you need information about?,Ramechhap,3,News about government decisions,5
What is the top thing that you need information about?,Ramechhap,3,How to register for access support,42
What is the top thing that you need information about?,Ramechhap,3,Others,0
What is the top thing that you need information about?,Ramechhap,3,Finding missing people,0
What is the top thing that you need information about?,Ramechhap,2,How to get healthcare psychosocial support,5
What is the top thing that you need information about?,Ramechhap,2,How to replace personal documentation,0
What is the top thing that you need information about?,Ramechhap,2,NA,16
What is the top thing that you need information about?,Ramechhap,2,How to get shelter materials,29
What is the top thing that you need information about?,Ramechhap,2,News about government decisions,1
What is the top thing that you need information about?,Ramechhap,2,How to register for access support,48
What is the top thing that you need information about?,Ramechhap,2,Others,1
What is the top thing that you need information about?,Ramechhap,2,Finding missing people,0
What is the top thing that you need information about?,Ramechhap,5,How to get healthcare psychosocial support,6
What is the top thing that you need information about?,Ramechhap,5,How to replace personal documentation,16
What is the top thing that you need information about?,Ramechhap,5,NA,16
What is the top thing that you need information about?,Ramechhap,5,How to get shelter materials,26
What is the top thing that you need information about?,Ramechhap,5,News about government decisions,7
What is the top thing that you need information about?,Ramechhap,5,How to register for access support,24
What is the top thing that you need information about?,Ramechhap,5,Others,0
What is the top thing that you need information about?,Ramechhap,5,Finding missing people,5
What is the top thing that you need information about?,Ramechhap,4,How to get healthcare psychosocial support,4
What is the top thing that you need information about?,Ramechhap,4,How to replace personal documentation,9
What is the top thing that you need information about?,Ramechhap,4,NA,13
What is the top thing that you need information about?,Ramechhap,4,How to get shelter materials,37
What is the top thing that you need information about?,Ramechhap,4,News about government decisions,13
What is the top thing that you need information about?,Ramechhap,4,How to register for access support,22
What is the top thing that you need information about?,Ramechhap,4,Others,0
What is the top thing that you need information about?,Ramechhap,4,Finding missing people,2
What is the top thing that you need information about?,Ramechhap,6,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Ramechhap,6,How to replace personal documentation,2
What is the top thing that you need information about?,Ramechhap,6,NA,15
What is the top thing that you need information about?,Ramechhap,6,How to get shelter materials,20
What is the top thing that you need information about?,Ramechhap,6,News about government decisions,3
What is the top thing that you need information about?,Ramechhap,6,How to register for access support,58
What is the top thing that you need information about?,Ramechhap,6,Others,0
What is the top thing that you need information about?,Ramechhap,6,Finding missing people,0
What is the top thing that you need information about?,Makwanpur,1,How to get healthcare psychosocial support,12
What is the top thing that you need information about?,Makwanpur,1,How to replace personal documentation,0
What is the top thing that you need information about?,Makwanpur,1,NA,9
What is the top thing that you need information about?,Makwanpur,1,How to get shelter materials,4
What is the top thing that you need information about?,Makwanpur,1,News about government decisions,74
What is the top thing that you need information about?,Makwanpur,1,How to register for access support,1
What is the top thing that you need information about?,Makwanpur,1,Others,1
What is the top thing that you need information about?,Makwanpur,1,Finding missing people,2
What is the top thing that you need information about?,Makwanpur,3,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Makwanpur,3,How to replace personal documentation,1
What is the top thing that you need information about?,Makwanpur,3,NA,47
What is the top thing that you need information about?,Makwanpur,3,How to get shelter materials,10
What is the top thing that you need information about?,Makwanpur,3,News about government decisions,33
What is the top thing that you need information about?,Makwanpur,3,How to register for access support,7
What is the top thing that you need information about?,Makwanpur,3,Others,0
What is the top thing that you need information about?,Makwanpur,3,Finding missing people,0
What is the top thing that you need information about?,Makwanpur,2,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Makwanpur,2,How to replace personal documentation,0
What is the top thing that you need information about?,Makwanpur,2,NA,40
What is the top thing that you need information about?,Makwanpur,2,How to get shelter materials,3
What is the top thing that you need information about?,Makwanpur,2,News about government decisions,45
What is the top thing that you need information about?,Makwanpur,2,How to register for access support,6
What is the top thing that you need information about?,Makwanpur,2,Others,0
What is the top thing that you need information about?,Makwanpur,2,Finding missing people,3
What is the top thing that you need information about?,Makwanpur,5,How to get healthcare psychosocial support,3
What is the top thing that you need information about?,Makwanpur,5,How to replace personal documentation,2
What is the top thing that you need information about?,Makwanpur,5,NA,56
What is the top thing that you need information about?,Makwanpur,5,How to get shelter materials,4
What is the top thing that you need information about?,Makwanpur,5,News about government decisions,30
What is the top thing that you need information about?,Makwanpur,5,How to register for access support,4
What is the top thing that you need information about?,Makwanpur,5,Others,0
What is the top thing that you need information about?,Makwanpur,5,Finding missing people,1
What is the top thing that you need information about?,Makwanpur,4,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Makwanpur,4,How to replace personal documentation,0
What is the top thing that you need information about?,Makwanpur,4,NA,61
What is the top thing that you need information about?,Makwanpur,4,How to get shelter materials,3
What is the top thing that you need information about?,Makwanpur,4,News about government decisions,32
What is the top thing that you need information about?,Makwanpur,4,How to register for access support,2
What is the top thing that you need information about?,Makwanpur,4,Others,2
What is the top thing that you need information about?,Makwanpur,4,Finding missing people,0
What is the top thing that you need information about?,Makwanpur,6,How to get healthcare psychosocial support,5
What is the top thing that you need information about?,Makwanpur,6,How to replace personal documentation,1
What is the top thing that you need information about?,Makwanpur,6,NA,53
What is the top thing that you need information about?,Makwanpur,6,How to get shelter materials,0
What is the top thing that you need information about?,Makwanpur,6,News about government decisions,29
What is the top thing that you need information about?,Makwanpur,6,How to register for access support,7
What is the top thing that you need information about?,Makwanpur,6,Others,0
What is the top thing that you need information about?,Makwanpur,6,Finding missing people,5
What is the top thing that you need information about?,Kathmandu,1,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Kathmandu,1,How to replace personal documentation,0
What is the top thing that you need information about?,Kathmandu,1,NA,38
What is the top thing that you need information about?,Kathmandu,1,How to get shelter materials,1
What is the top thing that you need information about?,Kathmandu,1,News about government decisions,36
What is the top thing that you need information about?,Kathmandu,1,How to register for access support,16
What is the top thing that you need information about?,Kathmandu,1,Others,0
What is the top thing that you need information about?,Kathmandu,1,Finding missing people,4
What is the top thing that you need information about?,Kathmandu,3,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Kathmandu,3,How to replace personal documentation,0
What is the top thing that you need information about?,Kathmandu,3,NA,34
What is the top thing that you need information about?,Kathmandu,3,How to get shelter materials,12
What is the top thing that you need information about?,Kathmandu,3,News about government decisions,47
What is the top thing that you need information about?,Kathmandu,3,How to register for access support,5
What is the top thing that you need information about?,Kathmandu,3,Others,0
What is the top thing that you need information about?,Kathmandu,3,Finding missing people,0
What is the top thing that you need information about?,Kathmandu,2,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Kathmandu,2,How to replace personal documentation,0
What is the top thing that you need information about?,Kathmandu,2,NA,27
What is the top thing that you need information about?,Kathmandu,2,How to get shelter materials,4
What is the top thing that you need information about?,Kathmandu,2,News about government decisions,58
What is the top thing that you need information about?,Kathmandu,2,How to register for access support,7
What is the top thing that you need information about?,Kathmandu,2,Others,0
What is the top thing that you need information about?,Kathmandu,2,Finding missing people,2
What is the top thing that you need information about?,Kathmandu,5,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Kathmandu,5,How to replace personal documentation,0
What is the top thing that you need information about?,Kathmandu,5,NA,63
What is the top thing that you need information about?,Kathmandu,5,How to get shelter materials,1
What is the top thing that you need information about?,Kathmandu,5,News about government decisions,26
What is the top thing that you need information about?,Kathmandu,5,How to register for access support,9
What is the top thing that you need information about?,Kathmandu,5,Others,0
What is the top thing that you need information about?,Kathmandu,5,Finding missing people,0
What is the top thing that you need information about?,Kathmandu,4,How to get healthcare psychosocial support,0
What is the top thing that you need information about?,Kathmandu,4,How to replace personal documentation,0
What is the top thing that you need information about?,Kathmandu,4,NA,43
What is the top thing that you need information about?,Kathmandu,4,How to get shelter materials,1
What is the top thing that you need information about?,Kathmandu,4,News about government decisions,48
What is the top thing that you need information about?,Kathmandu,4,How to register for access support,7
What is the top thing that you need information about?,Kathmandu,4,Others,1
What is the top thing that you need information about?,Kathmandu,4,Finding missing people,0
What is the top thing that you need information about?,Kathmandu,6,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Kathmandu,6,How to replace personal documentation,0
What is the top thing that you need information about?,Kathmandu,6,NA,90
What is the top thing that you need information about?,Kathmandu,6,How to get shelter materials,1
What is the top thing that you need information about?,Kathmandu,6,News about government decisions,7
What is the top thing that you need information about?,Kathmandu,6,How to register for access support,0
What is the top thing that you need information about?,Kathmandu,6,Others,1
What is the top thing that you need information about?,Kathmandu,6,Finding missing people,0
What is the top thing that you need information about?,Nuwakot,1,How to get healthcare psychosocial support,2
What is the top thing that you need information about?,Nuwakot,1,How to replace personal documentation,1
What is the top thing that you need information about?,Nuwakot,1,NA,28
What is the top thing that you need information about?,Nuwakot,1,How to get shelter materials,13
What is the top thing that you need information about?,Nuwakot,1,News about government decisions,49
What is the top thing that you need information about?,Nuwakot,1,How to register for access support,1
What is the top thing that you need information about?,Nuwakot,1,Others,0
What is the top thing that you need information about?,Nuwakot,1,Finding missing people,7
What is the top thing that you need information about?,Nuwakot,3,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Nuwakot,3,How to replace personal documentation,0
What is the top thing that you need information about?,Nuwakot,3,NA,28
What is the top thing that you need information about?,Nuwakot,3,How to get shelter materials,11
What is the top thing that you need information about?,Nuwakot,3,News about government decisions,49
What is the top thing that you need information about?,Nuwakot,3,How to register for access support,6
What is the top thing that you need information about?,Nuwakot,3,Others,1
What is the top thing that you need information about?,Nuwakot,3,Finding missing people,4
What is the top thing that you need information about?,Nuwakot,2,How to get healthcare psychosocial support,4
What is the top thing that you need information about?,Nuwakot,2,How to replace personal documentation,0
What is the top thing that you need information about?,Nuwakot,2,NA,27
What is the top thing that you need information about?,Nuwakot,2,How to get shelter materials,18
What is the top thing that you need information about?,Nuwakot,2,News about government decisions,44
What is the top thing that you need information about?,Nuwakot,2,How to register for access support,5
What is the top thing that you need information about?,Nuwakot,2,Others,0
What is the top thing that you need information about?,Nuwakot,2,Finding missing people,1
What is the top thing that you need information about?,Nuwakot,5,How to get healthcare psychosocial support,3
What is the top thing that you need information about?,Nuwakot,5,How to replace personal documentation,0
What is the top thing that you need information about?,Nuwakot,5,NA,56
What is the top thing that you need information about?,Nuwakot,5,How to get shelter materials,2
What is the top thing that you need information about?,Nuwakot,5,News about government decisions,39
What is the top thing that you need information about?,Nuwakot,5,How to register for access support,0
What is the top thing that you need information about?,Nuwakot,5,Others,0
What is the top thing that you need information about?,Nuwakot,5,Finding missing people,0
What is the top thing that you need information about?,Nuwakot,4,How to get healthcare psychosocial support,1
What is the top thing that you need information about?,Nuwakot,4,How to replace personal documentation,0
What is the top thing that you need information about?,Nuwakot,4,NA,51
What is the top thing that you need information about?,Nuwakot,4,How to get shelter materials,7
What is the top thing that you need information about?,Nuwakot,4,News about government decisions,38
What is the top thing that you need information about?,Nuwakot,4,How to register for access support,3
What is the top thing that you need information about?,Nuwakot,4,Others,0
What is the top thing that you need information about?,Nuwakot,4,Finding missing people,0
What is the top thing that you need information about?,Nuwakot,6,How to get healthcare psychosocial support,5
What is the top thing that you need information about?,Nuwakot,6,How to replace personal documentation,0
What is the top thing that you need information about?,Nuwakot,6,NA,14
What is the top thing that you need information about?,Nuwakot,6,How to get shelter materials,9
What is the top thing that you need information about?,Nuwakot,6,News about government decisions,65
What is the top thing that you need information about?,Nuwakot,6,How to register for access support,5
What is the top thing that you need information about?,Nuwakot,6,Others,0
What is the top thing that you need information about?,Nuwakot,6,Finding missing people,2
What is the top thing that you need information about?,Rasuwa,1,How to get healthcare psychosocial support,18
What is the top thing that you need information about?,Rasuwa,1,How to replace personal documentation,1
What is the top thing that you need information about?,Rasuwa,1,NA,6
What is the top thing that you need information about?,Rasuwa,1,How to get shelter materials,14
What is the top thing that you need information about?,Rasuwa,1,News about government decisions,49
What is the top thing that you need information about?,Rasuwa,1,How to register for access support,9
What is the top thing that you need information about?,Rasuwa,1,Others,1
What is the top thing that you need information about?,Rasuwa,1,Finding missing people,2
What is the top thing that you need information about?,Rasuwa,3,How to get healthcare psychosocial support,0
